STR	SNP_POS	SNP_ID	Trait	PValue	LD
chr18:58380073	chr18:58358018	rs4940386	mathematical ability	1e-18	0.7547925933393879
chr18:58380073	chr18:58364999	rs4940668	cognitive function measurement	2e-08	0.765369101269081
chr18:60325111	chr18:60295884	rs17773430	visceral adipose tissue measurement	5e-12	0.8308424903180244
chr18:60325111	chr18:60304392	rs111526888	eosinophil count	6e-12	0.8567453614109285
chr18:60325111	chr18:60346332	rs59992789	waist circumference	5e-08	0.7391721156335666
chr18:61161341	chr18:61198028	rs17818263	diet measurement	4e-08	0.8840345557794159
chr18:61171975	chr18:61198028	rs17818263	diet measurement	4e-08	0.7065367924208595
chr18:63574068	chr18:63580414	rs9949291	eosinophil percentage of leukocytes	6e-11	0.7997133991327484
chr18:63574068	chr18:63584740	rs12968338	eosinophil count	9e-11	0.7919337548124692
chr18:63574068	chr18:63584740	rs12968338	basophil count, eosinophil count	1e-09	0.7919337548124692
chr18:64476704	chr18:64485223	rs11663346	cigarettes per day measurement	3e-10	0.8388135918228911
chr18:64491555	chr18:64485223	rs11663346	cigarettes per day measurement	3e-10	0.7988101064752307
chr18:65333468	chr18:65323331	rs9646588	Abnormality of refraction	9e-12	0.8208333200103645
chr18:65333994	chr18:65323331	rs9646588	Abnormality of refraction	9e-12	0.8446038272126395
chr18:69912884	chr18:70023957	rs185898	platelet component distribution width	3e-20	0.7093924110256649
chr18:69912884	chr18:70023957	rs185898	mean platelet volume	1e-39	0.7093924110256649
chr18:79863692	chr18:79862996	rs11665111	schizophrenia	1e-08	0.7875054671572739
chr18:79863692	chr18:79867950	rs12970264	self reported educational attainment	2e-09	0.9189102724718134
chr15:23555523	chr15:23564729	rs6576457	age at menarche	6e-20	0.7221140051473562
chr15:31410583	chr15:31397340	rs12441543	BMI-adjusted waist-hip ratio	9e-22	0.7514567740119215
chr15:31410583	chr15:31397340	rs12441543	waist-hip ratio	1e-20	0.7514567740119215
chr15:37057650	chr15:37057601	rs1568679	response to risperidone	1e-08	0.9759881671159083
chr15:37357493	chr15:37351630	rs8037355	unipolar depression, bipolar disorder	4e-15	0.8571032417354166
chr15:37357493	chr15:37351630	rs8037355	unipolar depression	2e-18	0.8571032417354166
chr15:37357493	chr15:37356201	rs8025231	unipolar depression	2e-12	0.8776059479900844
chr15:38219162	chr15:38221661	rs56074300	lean body mass	1e-10	0.8196848772420464
chr15:38266644	chr15:38253524	rs3938236	sleep duration, high density lipoprotein cholesterol measurement	2e-08	0.8879759018434671
chr15:38266644	chr15:38254781	rs7175472	adolescent idiopathic scoliosis	6e-11	0.9081209961248179
chr15:38352242	chr15:38253524	rs3938236	sleep duration, high density lipoprotein cholesterol measurement	2e-08	0.7054924544238053
chr15:38352242	chr15:38254781	rs7175472	adolescent idiopathic scoliosis	6e-11	0.7329273179193971
chr15:38812556	chr15:38767235	rs12908794	body height	2e-10	0.771558889073204
chr15:40452277	chr15:40459356	rs3803357	triglyceride measurement	6e-12	0.9326782651730463
chr15:41025714	chr15:41041835	rs35077430	glomerular filtration rate	6e-15	0.9242573442737763
chr15:41185337	chr15:41170288	rs66663059	BMI-adjusted waist circumference	4e-08	0.8961958859987234
chr15:41973315	chr15:41969267	rs2250635	neutrophil count, basophil count	2e-15	0.8669747439943235
chr15:41973315	chr15:41969267	rs2250635	myeloid white cell count	3e-19	0.8669747439943235
chr15:41973315	chr15:41969267	rs2250635	granulocyte count	2e-16	0.8669747439943235
chr15:41973315	chr15:41969267	rs2250635	neutrophil count, eosinophil count	1e-16	0.8669747439943235
chr15:41973315	chr15:41969267	rs2250635	neutrophil count	8e-16	0.8669747439943235
chr15:41973315	chr15:41972233	rs1704413	platelet count	6e-09	0.8925236072081012
chr15:43955598	chr15:43970753	rs146906133	susceptibility to urinary tract infection measurement	2e-08	0.9818372274676035
chr15:46348507	chr15:46347610	rs4775302	prostate carcinoma	4e-08	0.89409141707978
chr15:46348507	chr15:46348758	rs55881236	intelligence	3e-08	0.9767390513405222
chr15:46348507	chr15:46348758	rs55881236	cognitive function measurement	1e-08	0.9767390513405222
chr15:47648480	chr15:47643588	rs1435742	cigarettes per day measurement	2e-08	0.8538633718428407
chr15:47679597	chr15:47679254	rs12902636	smoking status measurement	3e-28	0.9795080554330061
chr15:48575803	chr15:48509738	rs8030753	central corneal thickness	3e-08	0.7306897302079118
chr15:48550963	chr15:48614984	rs17462641	FEV/FEC ratio	6e-11	0.7474199367002137
chr15:50559498	chr15:50553039	rs3131586	lean body mass	8e-09	0.8220729646012861
chr15:50634327	chr15:50646781	rs2899463	pulse pressure measurement	1e-09	0.7407113069708482
chr15:50634327	chr15:50646781	rs2899463	systolic blood pressure	1e-13	0.7407113069708482
chr15:50725331	chr15:50723495	rs11630054	fibrinogen measurement	3e-10	0.7661554825004385
chr15:50725331	chr15:50745777	rs12438326	intelligence	2e-08	0.7595325066403416
chr15:50725331	chr15:50763625	rs12905525	neutrophil count	2e-10	0.9189035385957371
chr15:50972199	chr15:50809409	rs28621809	leukocyte count	1e-22	0.7347784071967149
chr15:51227673	chr15:51256547	rs11636403	heel bone mineral density	5e-57	0.7417663484165015
chr15:51549325	chr15:51462254	rs6493498	body mass index	5e-17	0.743161323741082
chr15:51892073	chr15:51742928	rs11632106	body mass index	2e-11	0.814266113819806
chr15:52830209	chr15:52840725	rs16965217	adolescent idiopathic scoliosis	8e-13	0.8735397001075961
chr15:53494360	chr15:53531215	rs10518726	smoking initiation	4e-09	0.7088396055596426
chr15:53494360	chr15:53531215	rs10518726	smoking status measurement	1e-10	0.7088396055596426
chr15:55869863	chr15:55858832	rs1863758	body height	3e-12	0.7587549708559304
chr15:56224468	chr15:56173553	rs12592096	BMI-adjusted waist circumference	7e-20	0.881443678892521
chr15:56224468	chr15:56212400	rs8030605	BMI-adjusted waist-hip ratio	1e-22	0.927163274028991
chr15:56224468	chr15:56212400	rs8030605	waist-hip ratio	5e-08	0.927163274028991
chr15:56224468	chr15:56233796	rs12591294	BMI-adjusted waist-hip ratio	3e-20	0.812640374379876
chr15:56224468	chr15:56236608	rs12595496	BMI-adjusted waist-hip ratio	4e-09	0.8714395305943947
chr15:56297029	chr15:56464087	rs1715919	BMI-adjusted waist-hip ratio	9e-11	0.8946667868339735
chr15:56723237	chr15:56700646	rs3816752	self reported educational attainment	9e-10	0.7898315641749754
chr15:57212281	chr15:57164604	rs117483894	type II diabetes mellitus	4e-08	0.9833393673175161
chr15:57212281	chr15:57263600	rs17820119	self reported educational attainment	1e-08	0.9867088147095799
chr15:57972149	chr15:57923529	rs4775006	brain volume measurement	3e-22	0.7241507001655659
chr15:57972149	chr15:57923529	rs4775006	osteoarthritis, knee	8e-10	0.7241507001655659
chr15:57972149	chr15:58045261	rs8023769	brain volume measurement	7e-16	0.8576925354677457
chr15:58051360	chr15:57954604	rs3204689	osteoarthritis	1e-11	0.7552980059423371
chr15:58051360	chr15:57967741	rs8031133	white matter microstructure measurement	4e-11	0.7731623994076257
chr15:58051360	chr15:57975219	rs66725070	Barrett's esophagus	3e-10	0.827349998118343
chr15:58051360	chr15:58028582	rs12914590	brain volume measurement	4e-08	0.8415914616746175
chr15:58051360	chr15:58050823	rs4646572	brain volume measurement	1e-09	0.9607083530924808
chr15:58051360	chr15:58052092	rs4646568	white matter microstructure measurement	2e-08	0.8945612329808919
chr15:58057314	chr15:58045261	rs8023769	brain volume measurement	7e-16	0.88590781372831
chr15:61696306	chr15:61701935	rs2414739	Parkinson's disease	4e-14	0.7526388777022498
chr15:62069585	chr15:62073266	rs72749770	apolipoprotein B measurement	2e-09	0.7502121716186099
chr15:62178285	chr15:62162820	rs6494314	von Willebrand factor measurement	1e-08	0.955503258713847
chr15:63056668	chr15:63056395	rs7166624	erythrocyte count	2e-09	0.9107904583645925
chr15:63649351	chr15:63512308	rs146311723	atrial fibrillation	6e-09	0.7555230759969044
chr15:63649351	chr15:63512308	rs146311723	urinary albumin to creatinine ratio	4e-10	0.7555230759969044
chr15:63649351	chr15:63512308	rs146311723	albuminuria	2e-08	0.7555230759969044
chr15:63649351	chr15:63566142	rs62012770	BMI-adjusted waist circumference	6e-11	0.7753999439624598
chr15:63649351	chr15:63574678	rs62012772	FEV/FEC ratio	2e-20	0.7589675036220926
chr15:63649351	chr15:63576612	rs62012774	BMI-adjusted waist-hip ratio	2e-11	0.778290060801525
chr15:63649351	chr15:63696566	rs17186681	wellbeing measurement	1e-08	0.8040823319559048
chr15:63649351	chr15:63696566	rs17186681	neuroticism measurement	3e-08	0.8040823319559048
chr15:63649351	chr15:63696566	rs17186681	depressive symptom measurement	2e-08	0.8040823319559048
chr15:63649351	chr15:63696566	rs17186681	resting heart rate, chronic obstructive pulmonary disease	1e-12	0.8040823319559048
chr15:64591431	chr15:64452591	rs72741332	age at menarche	5e-09	0.7838562612196694
chr15:65919922	chr15:65923582	rs11638908	mean corpuscular hemoglobin	1e-10	0.8409277998092008
chr15:66420554	chr15:66297617	rs72748330	self reported educational attainment	8e-09	0.7979063982991283
chr15:66420554	chr15:66298110	rs35192697	mathematical ability	7e-12	0.7979063982991283
chr15:66457116	chr15:66301130	rs76095247	body mass index	4e-10	0.8398243529923064
chr15:66457116	chr15:66370923	rs60180747	Testicular Germ Cell Tumor	1e-10	0.9310998063458986
chr15:66457116	chr15:66449049	rs11629783	body mass index	1e-12	0.8609514961886259
chr15:66457116	chr15:66472304	rs112293876	prostate carcinoma	4e-10	0.8890737434907001
chr15:66457116	chr15:66528912	rs11071896	Testicular Germ Cell Tumor	8e-13	0.9404228075155435
chr15:66457116	chr15:66528912	rs11071896	body mass index	6e-10	0.9404228075155435
chr15:66574287	chr15:66576734	rs7178615	diastolic blood pressure	3e-10	0.7268072487902641
chr15:66574287	chr15:66576734	rs7178615	mean corpuscular hemoglobin	2e-13	0.7268072487902641
chr15:66702311	chr15:66700089	rs76132480	body height	3e-11	0.8817967092850735
chr15:67073665	chr15:67075368	rs1498507	balding measurement	4e-09	0.9806931136581634
chr15:67073665	chr15:67075368	rs1498507	heel bone mineral density	5e-15	0.9806931136581634
chr15:67073665	chr15:67078168	rs12901372	osteoarthritis, hip	3e-11	0.9018366857676319
chr15:67073665	chr15:67078168	rs12901372	appendicular lean mass	7e-11	0.9018366857676319
chr15:67151323	chr15:67157322	rs2033784	eosinophil count	5e-11	0.8749757326474966
chr15:67151323	chr15:67157322	rs2033784	basophil count, eosinophil count	6e-10	0.8749757326474966
chr15:67151323	chr15:67157322	rs2033784	asthma	7e-15	0.8749757326474966
chr15:67151323	chr15:67158877	rs7174445	eosinophil percentage of leukocytes	1e-10	0.90143779486794
chr15:67151323	chr15:67158877	rs7174445	eosinophil percentage of granulocytes	4e-10	0.90143779486794
chr15:67207857	chr15:67318613	rs12440869	left ventricular diastolic function measurement	1e-08	0.8451277680800704
chr15:69267062	chr15:69267001	rs11854180	blood protein measurement	8e-245	0.894441373990045
chr15:69267062	chr15:69269179	rs3865014	blood protein measurement	2e-229	0.885898535418939
chr15:70296956	chr15:70297662	rs2668602	heel bone mineral density	8e-31	0.950817311283206
chr15:70837211	chr15:70816808	rs1549318	insulin measurement	2e-10	0.7990133861026025
chr15:70846622	chr15:70816808	rs1549318	insulin measurement	2e-10	0.8157187286506191
chr15:73252990	chr15:73088899	rs8026121	blood protein measurement	9e-13	0.7701638711927672
chr15:73252990	chr15:73215163	rs1812835	heart rate variability measurement	5e-10	0.8149906949232358
chr15:75353225	chr15:75372229	rs4886696	glomerular filtration rate	2e-23	0.8892116526524221
chr15:75353225	chr15:75399962	rs4886699	glomerular filtration rate	5e-19	0.8821741293402666
chr15:75880109	chr15:76007487	rs57737646	urate measurement	5e-14	0.7035722462960425
chr15:75880109	chr15:76010569	rs74024059	hematocrit	1e-14	0.862484983839409
chr15:75880109	chr15:76010569	rs74024059	erythrocyte count	2e-14	0.862484983839409
chr15:75880109	chr15:76017267	rs76614553	glomerular filtration rate	1e-08	0.818160838698698
chr15:77105318	chr15:77111818	rs4886850	Abnormality of refraction	1e-09	0.7629816717908057
chr15:77248800	chr15:77301070	rs148490292	heel bone mineral density	9e-09	0.8584686562466284
chr15:77372866	chr15:77301070	rs148490292	heel bone mineral density	9e-09	0.9415199921374056
chr15:77515410	chr15:77516256	rs12898370	alcohol dependence, risky sexual behaviour measurement	4e-08	0.9768422671912238
chr15:77595395	chr15:77590788	rs2667761	visceral adipose tissue measurement	7e-10	0.7781737898784093
chr15:77705175	chr15:77707094	rs11072662	neuroticism measurement	9e-13	0.8335122993193911
chr15:77705175	chr15:77714500	rs7175083	unipolar depression, mood disorder	2e-10	0.7680588970172681
chr15:78271050	chr15:78270761	rs3169166	reticulocyte count	9e-20	0.7534390717641362
chr15:78271050	chr15:78270761	rs3169166	red blood cell distribution width	3e-124	0.7534390717641362
chr15:78576622	chr15:78552768	rs905739	response to bronchodilator, FEV/FEC ratio	3e-08	0.7096813931725366
chr15:78576622	chr15:78552768	rs905739	forced expiratory volume, response to bronchodilator	7e-11	0.7096813931725366
chr15:78576622	chr15:78557576	rs7173514	response to bronchodilator, FEV/FEC ratio	1e-08	0.7926653184245204
chr15:78576622	chr15:78557576	rs7173514	forced expiratory volume, response to bronchodilator	1e-10	0.7926653184245204
chr15:78576622	chr15:78565554	rs503464	response to bronchodilator, FEV/FEC ratio	6e-09	0.8650490095747956
chr15:78576622	chr15:78565554	rs503464	forced expiratory volume, response to bronchodilator	1e-10	0.8650490095747956
chr15:78576622	chr15:78570420	rs664172	response to bronchodilator, FEV/FEC ratio	5e-08	0.9569263216853675
chr15:78576622	chr15:78570420	rs664172	forced expiratory volume, response to bronchodilator	2e-09	0.9569263216853675
chr15:78576622	chr15:78571130	rs667282	forced expiratory volume, response to bronchodilator	9e-10	0.9697270655239805
chr15:78576622	chr15:78571130	rs667282	response to bronchodilator, FEV/FEC ratio	3e-08	0.9697270655239805
chr15:78576622	chr15:78576056	rs2456020	response to bronchodilator, FEV/FEC ratio	1e-08	0.769868112101023
chr15:78576622	chr15:78576056	rs2456020	forced expiratory volume, response to bronchodilator	2e-09	0.769868112101023
chr15:78576622	chr15:78578461	rs576982	forced expiratory volume, response to bronchodilator	2e-09	0.9715549929749498
chr15:78576622	chr15:78580777	rs569207	response to bronchodilator, FEV/FEC ratio	5e-08	0.9635597825657601
chr15:78576622	chr15:78580777	rs569207	forced expiratory volume, response to bronchodilator	1e-09	0.9635597825657601
chr15:78576622	chr15:78581634	rs637137	forced expiratory volume, response to bronchodilator	1e-09	0.9724832344717018
chr15:78576622	chr15:78604205	rs938682	response to bronchodilator, FEV/FEC ratio	2e-08	0.8840384010420793
chr15:78576622	chr15:78604205	rs938682	forced expiratory volume, response to bronchodilator	5e-10	0.8840384010420793
chr15:78576622	chr15:78604205	rs938682	cigarettes per day measurement	2e-69	0.8840384010420793
chr15:78576622	chr15:78604205	rs938682	smoking cessation	1e-41	0.8840384010420793
chr15:78576622	chr15:78606871	rs7183604	response to bronchodilator, FEV/FEC ratio	2e-08	0.869119282053586
chr15:78576622	chr15:78606871	rs7183604	forced expiratory volume, response to bronchodilator	4e-10	0.869119282053586
chr15:78576622	chr15:78607377	rs11637630	response to bronchodilator, FEV/FEC ratio	2e-08	0.8762574353179639
chr15:78576622	chr15:78607377	rs11637630	forced expiratory volume, response to bronchodilator	4e-10	0.8762574353179639
chr15:78576622	chr15:78607377	rs11637630	cigarettes per day measurement	4e-167	0.8762574353179639
chr15:78576622	chr15:78611645	rs189218934	forced expiratory volume, response to bronchodilator	6e-10	0.867392097762732
chr15:78576622	chr15:78617916	rs3825845	response to bronchodilator, FEV/FEC ratio	5e-09	0.8127421435880308
chr15:78576622	chr15:78617916	rs3825845	forced expiratory volume, response to bronchodilator	5e-10	0.8127421435880308
chr15:78576622	chr15:78617916	rs3825845	schizophrenia	2e-10	0.8127421435880308
chr15:78576622	chr15:78620601	rs7170068	response to bronchodilator, FEV/FEC ratio	9e-09	0.78220430222256
chr15:78576622	chr15:78620601	rs7170068	forced expiratory volume, response to bronchodilator	9e-10	0.78220430222256
chr15:78576622	chr15:78621888	rs13329271	forced expiratory volume, response to bronchodilator	4e-09	0.7358504421853779
chr15:78576622	chr15:78621888	rs13329271	cigarettes per day measurement	3e-16	0.7358504421853779
chr15:78576622	chr15:78622903	rs6495309	response to bronchodilator, FEV/FEC ratio	5e-08	0.7193889402387524
chr15:78576622	chr15:78622903	rs6495309	forced expiratory volume, response to bronchodilator	5e-09	0.7193889402387524
chr15:78621012	chr15:78618839	rs8040868	response to bronchodilator, FEV/FEC ratio	9e-12	0.7632446225438243
chr15:78621012	chr15:78618839	rs8040868	forced expiratory volume, response to bronchodilator	1e-13	0.7632446225438243
chr15:78621012	chr15:78618839	rs8040868	squamous cell lung carcinoma	3e-41	0.7632446225438243
chr15:78621012	chr15:78618839	rs8040868	forced expiratory volume	4e-11	0.7632446225438243
chr15:78621012	chr15:78618839	rs8040868	FEV/FEC ratio	2e-11	0.7632446225438243
chr15:78621012	chr15:78618839	rs8040868	lung carcinoma, family history of lung cancer	4e-13	0.7632446225438243
chr15:78621012	chr15:78618839	rs8040868	smoking status measurement, pulmonary function measurement	3e-11	0.7632446225438243
chr15:78621012	chr15:78618839	rs8040868	cigarettes per day measurement	2e-10	0.7632446225438243
chr15:78815265	chr15:78830712	rs7164479	coronary artery disease	6e-18	0.7028938418716154
chr15:78815265	chr15:78830996	rs7165042	myocardial infarction	3e-09	0.7035397781667906
chr15:78815265	chr15:78832133	rs4468572	coronary artery disease	4e-16	0.7012258296847297
chr15:78877901	chr15:78864641	rs62011052	pulse pressure measurement	3e-15	0.9323190726238542
chr15:78877901	chr15:78938663	rs78813423	blood protein measurement	1e-11	0.7184861226955348
chr15:78943252	chr15:78936857	rs12592898	blood protein measurement	5e-166	0.7436565274948727
chr15:78943252	chr15:78942615	rs34593439	type I diabetes mellitus	9e-14	0.8108202043679359
chr15:78943252	chr15:78942615	rs34593439	blood protein measurement	3e-241	0.8108202043679359
chr15:78943252	chr15:78942615	rs34593439	type II diabetes mellitus	1e-11	0.8108202043679359
chr15:78943252	chr15:78942615	rs34593439	autoimmune disease	1e-14	0.8108202043679359
